siret,,workforce_count,coordinates,usual_name,
50521956800019,01.24,35,45.323171,3.894523,P2R
40534903600013,25.11,35,45.392837,3.323675,INFRASTRUCTURES METALLIQUES
30059953700036,22.22,35,45.252113,4.251819,SAS PICHON PLASTIQUES
25430075900027,38.11,35,45.106715,4.299903,SYND INTERCOMMUNAL DE COLLECTE ET DE TRAITEMENT DES ORDURES MENAGERES ENTRE MONTS ET VALLEES
58615035100045,22.19,35,45.075559,3.808681,CVA SILICONE
25430004900023,38.11,150,45.261641,3.406581,S.I.C.T.O.M ISSOIRE BRIOUDE
58605007200014,22.21,375,45.256549,4.245112,POLYETHYLENE PLASTIQUE ET EXTRUSION
33232216300020,13.94,35,45.322515,3.696607,PHP-PHILIPPE
50035429500015,27.32,35,45.308774,3.375286,J.F. INDUSTRIES ELECTRIQUES
38295488100019,38.32,35,45.067331,3.877796,SOCIETE DE RECUPERATION ET DE VALORISATION VACHER
58705036000029,25.11,35,45.013421,3.902622,GAGNE
33787585000030,22.22,35,45.254679,4.263431,BOBINO PLASTIQUE
44990646000026,22.22,35,45.253649,4.264696,AEP GROUP
44117587400029,22.23,35,45.104476,3.811971,MATERIAUX COMPOSITES DU CENTRE
77560334300036,13.96,35,45.28847,4.159648,JANISSET
35229199100029,27.90,75,45.274624,4.19142,SARL EKTRO
40086927700089,10.51,75,45.298435,4.138315,EUROSERUM
32160773100015,14.39,35,45.099614,3.967389,INTERSTYL LES ATELIERS DE BOISSIERS
58575081300040,10.39,75,45.074215,3.759018,SABAROT WASSNER
78939439200011,22.23,35,45.106715,4.299903,MENUISERIES DU HAUT LIGNON
50225681100014,26.11,75,45.187218,3.918961,LINXENS MICROTECH
34859039900013,25.11,35,45.107638,4.298785,CHAUDRONNERIE SERRURERIE MONTELIMARD
58625041700035,10.13,150,45.228573,4.140177,SALAISONS DU LIGNON
34883634700032,22.22,35,45.254798,4.268072,S.E.S.
39338298100024,22.21,150,45.252113,4.251819,GRANGER FRERES
58735043000035,22.21,150,45.2507,4.255931,GUERIN PLASTIQUES
30910554200034,29.20,75,45.180594,4.3197,BRAS-HYDRAULIQUE
44254438300023,20.16,35,45.2507,4.35905,JM POLYMERS
32108935100019,10.13,35,44.966468,3.886994,NICOLAS G SALAISONS MONTAGNAC
37872365400018,13.92,35,45.236092,4.188585,VELAY CAPITON SA
40137079600039,32.99,35,45.262382,4.231642,L ATELIER DU RESERVOIR
30664621700019,10.11,35,45.144311,4.117095,ABATTOIRS SOCABY
32266889800032,01.30,35,45.143814,4.293985,DIGO-AGRI
44181519800011,22.21,150,45.2507,4.35905,LEYGATECH
58635019100035,25.94,35,45.297831,4.130022,MASSARD ET CIE
38948340500012,10.11,35,45.31096,3.374569,TINEL
44990646000042,22.22,75,45.251536,4.259686,AEP GROUP
34849695100024,22.22,35,45.254679,4.263431,JANU'SAC
80999983200029,20.59,150,45.050296,3.968876,FAREVA LA VALLEE
42123283600013,17.21,150,45.332504,4.307941,VIALLON EMBALLAGE
44885461200018,22.23,75,45.127642,3.977872,MOREY PRODUCTION
53104005300039,15.12,150,45.069019,3.752294,MAROQUINERIE DU PUY
49176298500019,14.19,35,45.245651,4.271369,GUILLAUMOND CREATIONS
25430039500012,38.11,35,45.29224,4.172484,SYND MIXTE TRI SELECT TRAIT DECHET MENAG
32289394200019,10.12,35,45.081712,3.827407,VEY SAS
31585789600023,22.29,35,45.248455,4.253616,GOUDARD PLASTIQUES ETS
32552045000298,10.51,35,45.053157,3.964716,ENTREMONT ALLIANCE
41310856400019,31.01,35,45.298322,3.386891,CERKIS
25430059300020,38.11,35,45.332504,4.307941,SYND INTERCOM COLLECTE TRAITEMENT ORDURES MENAGERES VELAY PILAT
70203737500095,22.22,35,45.251536,4.259686,COVERIS FLEXIBLES FRANCE
38154043400028,20.16,75,45.251536,4.259686,ADDIPLAST
44197409400035,13.92,35,45.067558,4.306594,SUN ET LUX
41493420800011,13.96,150,45.342447,4.311744,CHEYNET & FILS
53394752900012,15.11,150,45.066349,3.90484,TANNERIES DU PUY
78898818600011,22.22,35,45.244352,4.271605,SIGOPLAST
41493420800045,13.96,35,45.340589,4.311054,CHEYNET & FILS
47943739400014,22.22,75,45.252113,4.251819,RIBEYRON SAS
79446578100027,29.20,35,45.237997,4.24791,SOLIGHT
33760546300021,26.51,150,45.127642,3.977872,WATTS ELECTRONICS
33022959200028,29.20,35,45.147836,4.111282,GIRAUDON SAS
33082444200025,16.10,75,45.213105,4.346824,SCIERIE MOULIN
49770069000025,13.10,35,45.2304,4.401872,MAYOR
38017197500028,23.99,35,45.108346,3.81283,ARGILE DU VELAY
50126583900024,22.21,35,45.252113,4.251819,MULTIPLAST
34334054300028,16.29,35,45.303665,3.376716,AUBRILAM
55208131770508,35.13,75,45.290232,4.172378,DIV PARTIC. ET PROFESSIONNELS
44183514700014,22.22,75,45.280295,4.11217,J & M PLAST
58585043100016,58.13,75,45.040553,3.886237,SA L'EVEIL DE LA HAUTE-LOIRE
72201371100030,17.21,35,45.302305,3.358778,INDUST TRANSFORM CARTON AUTRES MATIERES
39882711300208,42.11,35,45.151032,4.116489,LOIRE AUVERGNE
66652004400049,17.21,35,45.326108,3.368628,ETABLISSEMENTS ESTIC-MAILLOT
55208131766118,35.13,35,45.038674,3.932052,UNITE DE PRODUCTION CENTRE
55850337100178,10.85,75,45.254417,3.403133,GROUPE FRANCAISE DE GASTRONOMIE
58575081300065,10.39,35,45.075354,3.861537,SABAROT WASSNER
66612002700030,43.12,35,45.206435,3.516042,SOCIETE A. CHAMBON
74993448500030,43.31,35,45.045711,3.917884,CETON COKELEKLI
77560174300070,13.96,35,45.178903,4.315321,OFI
77912566500017,01.62,75,45.006016,3.923658,XR REPRO
60282001100099,25.50,150,45.307543,3.375973,SOC NOISEENNE OUTILLAGE DE PRESSE SNOP
58555019700032,26.12,75,45.03822,3.970317,CONSTRUCTIONS ELECTRIQUES R.V.
58635002700015,43.99,35,45.361423,4.199705,SOC CONSTRUCTIONS MECANIQUES AURECOISES
81480913300014,43.31,35,45.049752,3.904888,BATI & DECO
82789780200027,23.31,75,45.206335,3.515942,CERAMIQUES DE HAUTE LOIRE
86320018400084,41.20,35,45.107542,3.498163,MERLE
84132462700014,38.11,35,45.120425,4.294633,RG 43
31233056600018,42.11,35,45.295152,3.405744,CHEVALIER
82205177700016,18.12,35,45.157187,4.132538,IMPRIMERIE COOPERATIVE DES SUCS
31322139200019,25.62,35,45.046669,4.244904,ATELIER DE MECANIQUE GENERALE DU MAZET
25430091600023,36.00,75,45.014134,3.90514,SYNDICAT DE GESTION DES EAUX DU VELAY
25430040300030,36.00,35,45.244051,4.227688,SYNDICAT DE GESTION DES EAUX LOIRE LIGNON
32907348000025,43.99,35,45.252013,4.251819,SIGOBAT
31840433200039,43.31,35,45.0458,3.917278,PAYS BORDEL
32417950600013,43.33,35,45.057561,3.897747,GIMBERT PIERRE ENTREPRISE
32939379700165,42.11,35,45.061465,3.85026,COLAS RHONE-ALPES AUVERGNE
32351537900028,43.21,35,45.284916,4.164014,ELECTRICITE GENERALE SABY
30646257300032,43.99,35,45.15931,4.307673,SOCIETE NEYRON FRERES
30255793900022,43.32,75,45.047969,3.907739,ETABLISSEMENTS CHAPUIS
30527413600038,25.61,35,45.149108,4.116147,ETABLISSEMENTS BLANC SAS
32469778800036,43.99,35,45.081612,3.827407,ARNAUD SAS
32611712400015,25.50,35,45.157087,4.132538,FAYOLLE
34090235200020,43.22,35,45.054222,3.908928,CROZE
33342882900019,25.62,35,45.264528,4.107258,TRAITEMENT THERMIQUE DU VELAY - TTD
34941854100026,16.10,35,45.30815,3.780667,GALLIEN BOIS IMPREGNES SA
34832654700018,16.24,35,45.068322,4.162903,ETABLISSEMENTS CELLE
34931886500020,33.20,75,45.29619,4.13854,STIMM
33956587100037,13.96,75,45.330228,4.32122,SERAM EUROPE
33503773500016,29.31,35,45.382967,3.375575,CENTRE DE VALORISATION DE LA MATIERE
34304882300029,27.40,75,45.391613,3.267745,SOCIETE INDUSTRIELLE D'EQUIPEMENT DE LA LIMAGNE
34184709300034,43.99,35,44.983594,3.838776,FRANCE MONTAGE
34797509600020,20.53,35,45.3805,3.4433,HUILES ESSEN LIVRA PHARM AROMA COSMO
35116417300012,25.62,35,45.252213,4.251819,MPS FAURE
34957831000014,10.51,75,45.068222,4.162903,LAITERIE DES MONTS YSSINGELAIS FROMAGERIE DU PLATEAU ARDECHOIS
38422208900029,43.31,75,45.244367,4.235831,PEPIER CHARREL
37924021100027,25.62,35,45.375896,3.314124,MECANIQUE GENERALE 63
38360887400038,13.99,35,45.31454,4.23513,HERAUD RUBANS
38758377600027,42.22,35,45.044997,3.908056,EGEV
37933317200045,13.10,35,45.206358,4.367059,SOFILA
38159493600027,17.21,35,45.332404,4.307941,COLORIS
38486680200018,43.21,35,45.155556,4.1366,FRAISSE ET FILS
38793072000017,43.99,35,45.244431,4.238011,ETABLISSEMENT BRUYERE
37962579100023,43.12,75,45.254847,4.164462,MOULIN
38838964500028,25.50,35,45.149208,4.116247,JET CUT
38973634900041,43.29,35,45.051964,3.951885,AUVERGNE ASCENSEURS
39383355300018,32.50,35,45.330228,4.32142,MICROVAL
39834308700027,43.99,35,45.242768,4.386961,E G B T P GUY PEYRARD
44103714000015,16.29,35,45.251536,4.259686,COFFINOBOIS
40129103400049,43.22,35,45.297011,4.132139,ENERGECO
41356224000015,41.20,35,45.19649,3.706612,DYNAMIC BOIS CHARPENTE
41762143000038,43.99,35,45.042623,3.865589,DURAND PHILIPPE
42170654000018,22.29,35,45.03802,3.970317,SIPLAST
43448826800047,43.99,35,45.239553,4.287575,EURL M.2.I - FAYARD
44017870500024,10.71,35,45.050656,3.917697,LA BRIVOISE CORSAC
44460844209894,35.13,35,45.047091,3.892063,ENEDIS
44468833700039,43.34,35,45.107237,3.496949,CHARLES & VIGOUROUX
43400591400016,25.61,150,45.078628,3.630066,PEM
43400591400032,25.61,75,44.957366,3.550956,PEM
44883491100019,25.62,35,45.374522,4.209488,MECANIQUE DEVILLE
43969406800016,24.33,75,45.391813,3.267745,JORIS IDE AUVERGNE - SUD EST
44460844209803,35.13,35,45.047627,3.891383,ENEDIS
44914667900021,22.21,75,45.308541,4.111882,INDUSTRIAL PACKAGING SOLUTIONS
44460844210546,35.13,35,45.29744,3.37784,ENEDIS
44460844212732,35.13,35,45.03826,3.885051,ENEDIS
47893431800013,43.91,35,45.069925,4.280905,GUILHOT CONSTRUCTION BOIS
48980493000019,25.61,75,45.078428,3.629866,DIEHL POWER ELECTRONIC SAS
45015773000026,10.89,75,45.291687,4.247212,ALPHA NUTRITION
49120811200012,25.61,35,45.232926,4.223866,MCE
49198232800016,25.50,35,45.226991,4.139098,NOUVELLE FORGE BARDON
51942111900024,26.51,35,45.332504,4.307941,MU-TEST
53992173400015,15.12,150,45.156987,4.132538,LES ATELIERS DU MEYGAL
66722004000014,16.10,35,45.276813,3.719236,STE DES ETABLISSEMENTS FILAIRE
52859906100017,28.15,35,45.328733,4.245146,BILLARD ENGRENAGES
38046444600026,22.23,35,45.215963,4.34595,NERGECO FRANCE
41174904700022,22.22,35,45.302915,4.115824,AUVERGNE PLASTIQUE INDUSTRIE
50242019300026,43.12,35,45.159606,4.306864,S.D.R.T.P
48915807100014,43.32,75,44.983494,3.838576,GAUTHIER
48915807100055,43.32,75,44.971126,3.877349,GAUTHIER
51365418600024,43.12,35,45.297931,4.130022,TREMA
52900768400028,25.62,150,45.181051,4.313653,LINAMAR MONTFAUCON TRANSMISSION
51505297500023,43.99,35,45.04775,3.906556,BATI FACADES 43
53384192000028,43.99,35,45.242801,4.427091,CHARRA MACONNERIE
52049207500012,43.32,35,45.15017,4.115105,SERODON ET ASSOCIES
51395537700017,33.12,35,45.067558,4.306494,SECURIPRO INCENDIE
